latitude,longitude,NumOfCloseListings,PerSqm,Deviation_price_per_sqm
48.21055391,16.3699241,422,29149.79757,0.3387
48.20420229,16.37490983,330,21304.63899,-0.0216
48.21286896,16.36703937,353,20271.29817,-0.069
48.21536431,16.37048613,464,25180.45113,0.1564
48.21536431,16.37048613,464,19722.22222,-0.0942
48.20636048,16.37336627,422,16021.50538,-0.2642
48.21437335,16.3675158,350,22381.09039,0.0279
48.20321409,16.3754499,305,19628.57143,-0.0985
48.21346816,16.37227394,452,15177.87789,-0.3029
48.21315571,16.37043033,426,10865.52749,-0.501
48.21483241,16.37117091,465,15056.60377,-0.3085
48.20398049,16.3667005,321,19428.57143,-0.1077
48.21251441,16.37006348,423,14966.62009,-0.3126
48.2032427,16.37547136,304,19589.39264,-0.1003
48.21542865,16.37046467,466,19604.82063,-0.0996
48.21247151,16.37006348,424,15276.69525,-0.2984
48.21542865,16.37046467,466,21630.43478,-0.0066
48.21542865,16.37046467,466,18492.06349,-0.1507
48.21542865,16.37046467,466,18673.46939,-0.1424
48.21430345,16.36641631,327,23582.67717,0.0831
48.21617955,16.37145255,450,15683.00313,-0.2797
48.21617955,16.37145255,450,14240.42879,-0.346
48.21617955,16.37145255,450,18870.19231,-0.1334
48.21617955,16.37145255,450,13357.66423,-0.3865
48.21617955,16.37145255,450,18192.74213,-0.1645
48.20427379,16.37490983,329,25629.78723,0.1771
48.20523164,16.37468967,372,14058.67971,-0.3543
48.20472388,16.36955056,333,28814.97797,0.3234
48.20472388,16.36955056,333,28939.71631,0.3291
48.20472388,16.36955056,333,27927.63158,0.2826
48.20472388,16.36955056,333,32646.2585,0.4993
48.20633262,16.37123498,421,27683.61582,0.2714
48.20605372,16.37593421,372,15492.95775,-0.29
48.2154072,16.37050758,465,25104.94753,0.153
48.2154072,16.37050758,465,21868.13187,0.0043
48.2154072,16.37050758,465,28952.27442,0.3297
48.20322124,16.3754499,304,27530.36437,0.2644
48.20322124,16.3754499,304,31857.34322,0.4631
48.20322124,16.3754499,304,26691.72932,0.2259
48.20541769,16.37584298,361,24820.61465,0.1399
48.20657664,16.43059483,13,8602.479942,0.1531
48.20657664,16.43059483,13,14447.08277,0.9366
48.20657664,16.43059483,13,8211.904762,0.1008
48.20657664,16.43059483,13,8613.414812,0.1546
48.21800034,16.38352274,576,6190.252312,-0.1702
48.20338029,16.40062013,209,6387.712625,-0.1437
48.20662263,16.39813251,222,6250,-0.1622
48.22108304,16.38202623,523,5852.994555,-0.2154
48.22204649,16.39798328,251,6300,-0.1555
48.22193678,16.39960126,262,6231.25,-0.1647
48.21811393,16.37642081,489,5983.623767,-0.1979
48.20657664,16.43059483,13,10478.5754,0.4046
48.22084383,16.38794903,407,7519.480519,0.008
48.22324392,16.40711924,224,6558.998022,-0.1208
48.22324392,16.40711924,224,8013.157895,0.0741
48.21741589,16.40851588,188,3760,-0.496
48.21537135,16.38525241,483,7009.252336,-0.0604
48.22350303,16.40469154,262,8125,0.0891
48.22350303,16.40469154,262,5464.121132,-0.2675
48.22350303,16.40469154,262,5686.830498,-0.2377
48.22446447,16.38920417,248,7948.632479,0.0655
48.21551961,16.3904226,329,8404.255319,0.1266
48.21933484,16.40516063,295,5580.357143,-0.252
48.20482809,16.40008718,207,3486.09479,-0.5327
48.2174129,16.37553531,487,3500,-0.5308
48.2174129,16.37553531,487,3800.436772,-0.4906
48.22324392,16.40711924,224,7516.339869,0.0076
48.22487798,16.38538338,290,7950.819672,0.0658
48.22487798,16.38538338,290,6611.295681,-0.1138
48.22487798,16.38538338,290,8055.597071,0.0798
48.2163617,16.38777206,437,5152.994693,-0.3093
48.22362327,16.40261507,253,5967.391304,-0.2001
48.22414358,16.36970354,369,5231.707317,-0.2987
48.22746545,16.39854353,112,5989.473684,-0.1971
48.22275447,16.37249581,365,8586.956522,0.1511
48.22083633,16.39930944,263,6363.539446,-0.147
48.22211357,16.3812237,477,6428.571429,-0.1383
48.22083633,16.39930944,263,6182.874122,-0.1712
48.21890955,16.38739035,465,5735.632184,-0.2311
48.22193678,16.39956907,261,6231.388889,-0.1647
48.21169717,16.38898691,353,6852.497096,-0.1216
48.21169717,16.38898691,353,9006.772009,0.1546
48.19655638,16.40836796,168,7360.265634,-0.0565
48.19115508,16.38951874,251,4739.275623,-0.3925
48.18553781,16.41433568,32,8182.39392,0.0489
48.20300115,16.3843912,223,22035.36517,1.8247
48.1854949,16.41427131,34,7289.81458,-0.0655
48.19927277,16.38745708,279,6670.718736,-0.1449
48.20300115,16.3843912,223,10155.71205,0.3018
48.19845411,16.3784795,178,8322.222222,0.0668
48.1854949,16.41427131,34,8268.960674,0.06
48.20300115,16.3843912,223,16885.44601,1.1645
48.20755158,16.39191097,319,7976.720301,0.0225
48.19371568,16.40504776,208,10387.32394,0.3315
48.19842951,16.38253181,203,8322.222222,0.0668
48.19923701,16.38747854,278,8183.543103,0.049
48.19501908,16.41082301,138,10400.44837,0.3332
48.2010242,16.40568523,124,5986.662625,-0.2326
48.18534286,16.4111961,37,7868.421053,0.0086
48.19501908,16.41082301,138,10245.71429,0.3134
48.21308816,16.39002527,339,3103.745569,-0.6021
48.18978369,16.38762463,261,3271.186441,-0.5807
48.1853071,16.41118537,38,8810.06865,0.1294
48.1853071,16.41118537,38,8967.001435,0.1495
48.19501908,16.41082301,138,13255.24168,0.6992
48.19501908,16.41082301,138,9750.626357,0.2499
48.19099903,16.38761368,249,5279.230769,-0.3233
48.19653492,16.40835723,168,7081.880486,-0.0922
48.20170431,16.38204837,197,16664.44444,1.1362
48.189139,16.38869746,240,9520.547945,0.2204
